,intended vote,education,age
1139,stay,5.0,39
1140,stay,,48
1141,leave,2.0,56
1142,stay,4.0,68
1143,leave,3.0,58
1144,leave,4.0,57
1145,stay,5.0,39
1146,leave,3.0,78
1147,leave,4.0,46
1148,leave,3.0,63
1149,stay,4.0,34
1150,stay,4.0,43
1151,stay,3.0,81
1152,leave,1.0,71
1153,stay,5.0,41
1154,leave,4.0,87
1155,leave,4.0,84
1156,leave,4.0,78
1157,leave,2.0,84
1158,leave,4.0,82
1159,leave,5.0,69
1160,leave,5.0,67
1161,stay,2.0,56
1162,leave,4.0,72
1163,stay,4.0,66
1164,leave,3.0,53
1165,leave,4.0,76
1166,leave,,69
1167,leave,3.0,66
1168,leave,2.0,64
1169,leave,,72
1170,leave,1.0,70
1171,stay,5.0,31
1172,leave,4.0,70
1173,leave,,67
1174,stay,5.0,74
1175,stay,4.0,74
1176,stay,4.0,72
1177,leave,2.0,67
1178,leave,3.0,38
1179,leave,3.0,65
1180,leave,3.0,44
1181,leave,1.0,70
1182,leave,,72
1183,leave,2.0,63
1184,leave,,69
1185,leave,3.0,37
1186,leave,4.0,38
1187,stay,4.0,62
1188,stay,5.0,42
1189,leave,2.0,73
1190,stay,4.0,76
1191,leave,4.0,55
1192,leave,4.0,74
1193,leave,2.0,73
1194,leave,1.0,70
1195,leave,3.0,72
1196,stay,3.0,63
1197,stay,4.0,56
1198,stay,4.0,28
1199,leave,1.0,69
1200,stay,3.0,61
1201,leave,3.0,58
1202,leave,3.0,74
1203,stay,4.0,52
1204,leave,3.0,73
1205,stay,4.0,41
1206,stay,2.0,61
1207,stay,4.0,72
1208,leave,4.0,60
1209,stay,2.0,72
1210,stay,,67
1211,stay,4.0,51
1212,stay,4.0,74
1213,stay,4.0,35
1214,stay,4.0,43
1215,stay,3.0,40
1216,stay,4.0,57
1217,stay,,53
1218,stay,4.0,52
1219,stay,4.0,58
1220,leave,1.0,63
1221,don't know,,57
1222,leave,1.0,57
1223,leave,4.0,71
1224,leave,4.0,44
1225,stay,5.0,34
1226,stay,4.0,45
1227,stay,5.0,51
1228,leave,3.0,47
1229,leave,,60
1230,won't vote,3.0,59
1231,stay,3.0,70
1232,leave,2.0,62
1233,leave,1.0,76
1234,leave,,55
1235,stay,4.0,37
1236,leave,2.0,59
1237,stay,5.0,74
1238,leave,1.0,73
1239,stay,2.0,67
1240,stay,,64
1241,leave,3.0,52
1242,leave,4.0,73
1243,stay,5.0,29
1244,leave,3.0,44
1245,leave,5.0,76
1246,stay,2.0,84
1247,leave,3.0,76
1248,stay,,66
1249,stay,4.0,57
1250,stay,4.0,52
1251,stay,4.0,45
1252,stay,,46
1253,leave,3.0,79
1254,stay,,85
1255,leave,2.0,70
1256,leave,4.0,48
1257,leave,4.0,71
1258,stay,3.0,38
1259,stay,4.0,46
1260,stay,2.0,47
1261,leave,,71
1262,stay,2.0,74
1263,leave,1.0,72
1264,stay,4.0,47
1265,stay,3.0,53
1266,stay,4.0,42
